"activity" "subject" "variable" "mean"
"WALKING" 1 "body_acceleration_mean_x_time" 0.277330758736842
"WALKING" 2 "body_acceleration_mean_x_time" NA
"WALKING" 3 "body_acceleration_mean_x_time" 0.275567462068966
"WALKING" 4 "body_acceleration_mean_x_time" NA
"WALKING" 5 "body_acceleration_mean_x_time" 0.27784234625
"WALKING" 6 "body_acceleration_mean_x_time" 0.283658868070175
"WALKING" 7 "body_acceleration_mean_x_time" 0.275592961754386
"WALKING" 8 "body_acceleration_mean_x_time" 0.27468631
"WALKING" 9 "body_acceleration_mean_x_time" NA
"WALKING" 10 "body_acceleration_mean_x_time" NA
"WALKING" 11 "body_acceleration_mean_x_time" 0.271821892881356
"WALKING" 12 "body_acceleration_mean_x_time" NA
"WALKING" 13 "body_acceleration_mean_x_time" NA
"WALKING" 14 "body_acceleration_mean_x_time" 0.271959598644068
"WALKING" 15 "body_acceleration_mean_x_time" 0.273899207962963
"WALKING" 16 "body_acceleration_mean_x_time" 0.276023564509804
"WALKING" 17 "body_acceleration_mean_x_time" 0.272341855245902
"WALKING" 18 "body_acceleration_mean_x_time" NA
"WALKING" 19 "body_acceleration_mean_x_time" 0.273931172307692
"WALKING" 20 "body_acceleration_mean_x_time" NA
"WALKING" 21 "body_acceleration_mean_x_time" 0.279183526730769
"WALKING" 22 "body_acceleration_mean_x_time" 0.27886459
"WALKING" 23 "body_acceleration_mean_x_time" 0.273211884237288
"WALKING" 24 "body_acceleration_mean_x_time" NA
"WALKING" 25 "body_acceleration_mean_x_time" 0.278992759054054
"WALKING" 26 "body_acceleration_mean_x_time" 0.279264443728814
"WALKING" 27 "body_acceleration_mean_x_time" 0.276849485438596
"WALKING" 28 "body_acceleration_mean_x_time" 0.281228223888889
"WALKING" 29 "body_acceleration_mean_x_time" 0.271999916792453
"WALKING" 30 "body_acceleration_mean_x_time" 0.276406758
"WALKING_UPSTAIRS" 1 "body_acceleration_mean_x_time" 0.255461689622641
"WALKING_UPSTAIRS" 2 "body_acceleration_mean_x_time" NA
"WALKING_UPSTAIRS" 3 "body_acceleration_mean_x_time" 0.260819873067797
"WALKING_UPSTAIRS" 4 "body_acceleration_mean_x_time" NA
"WALKING_UPSTAIRS" 5 "body_acceleration_mean_x_time" 0.268459469914894
"WALKING_UPSTAIRS" 6 "body_acceleration_mean_x_time" 0.268229355098039
"WALKING_UPSTAIRS" 7 "body_acceleration_mean_x_time" 0.248706923078431
"WALKING_UPSTAIRS" 8 "body_acceleration_mean_x_time" 0.258880152048781
"WALKING_UPSTAIRS" 9 "body_acceleration_mean_x_time" NA
"WALKING_UPSTAIRS" 10 "body_acceleration_mean_x_time" NA
"WALKING_UPSTAIRS" 11 "body_acceleration_mean_x_time" 0.263775859277778
"WALKING_UPSTAIRS" 12 "body_acceleration_mean_x_time" NA
"WALKING_UPSTAIRS" 13 "body_acceleration_mean_x_time" NA
"WALKING_UPSTAIRS" 14 "body_acceleration_mean_x_time" 0.26242106612963
"WALKING_UPSTAIRS" 15 "body_acceleration_mean_x_time" 0.270187595833333
"WALKING_UPSTAIRS" 16 "body_acceleration_mean_x_time" 0.255986102627451
"WALKING_UPSTAIRS" 17 "body_acceleration_mean_x_time" 0.252604768583333
"WALKING_UPSTAIRS" 18 "body_acceleration_mean_x_time" NA
"WALKING_UPSTAIRS" 19 "body_acceleration_mean_x_time" 0.242118808925
"WALKING_UPSTAIRS" 20 "body_acceleration_mean_x_time" NA
"WALKING_UPSTAIRS" 21 "body_acceleration_mean_x_time" 0.265194544680851
"WALKING_UPSTAIRS" 22 "body_acceleration_mean_x_time" 0.248391534566667
"WALKING_UPSTAIRS" 23 "body_acceleration_mean_x_time" 0.249995171031373
"WALKING_UPSTAIRS" 24 "body_acceleration_mean_x_time" NA
"WALKING_UPSTAIRS" 25 "body_acceleration_mean_x_time" 0.277995411384615
"WALKING_UPSTAIRS" 26 "body_acceleration_mean_x_time" 0.272691394545455
"WALKING_UPSTAIRS" 27 "body_acceleration_mean_x_time" 0.265770253921569
"WALKING_UPSTAIRS" 28 "body_acceleration_mean_x_time" 0.262005841764706
"WALKING_UPSTAIRS" 29 "body_acceleration_mean_x_time" 0.265423066877551
"WALKING_UPSTAIRS" 30 "body_acceleration_mean_x_time" 0.271415642261538
"WALKING_DOWNSTAIRS" 1 "body_acceleration_mean_x_time" 0.289188320408163
"WALKING_DOWNSTAIRS" 2 "body_acceleration_mean_x_time" NA
"WALKING_DOWNSTAIRS" 3 "body_acceleration_mean_x_time" 0.292423484693878
"WALKING_DOWNSTAIRS" 4 "body_acceleration_mean_x_time" NA
"WALKING_DOWNSTAIRS" 5 "body_acceleration_mean_x_time" 0.29354392712766
"WALKING_DOWNSTAIRS" 6 "body_acceleration_mean_x_time" 0.277045258145833
"WALKING_DOWNSTAIRS" 7 "body_acceleration_mean_x_time" 0.28030708
"WALKING_DOWNSTAIRS" 8 "body_acceleration_mean_x_time" 0.283484089210526
"WALKING_DOWNSTAIRS" 9 "body_acceleration_mean_x_time" NA
"WALKING_DOWNSTAIRS" 10 "body_acceleration_mean_x_time" NA
"WALKING_DOWNSTAIRS" 11 "body_acceleration_mean_x_time" 0.291605631956522
"WALKING_DOWNSTAIRS" 12 "body_acceleration_mean_x_time" NA
"WALKING_DOWNSTAIRS" 13 "body_acceleration_mean_x_time" NA
"WALKING_DOWNSTAIRS" 14 "body_acceleration_mean_x_time" 0.293422115555556
"WALKING_DOWNSTAIRS" 15 "body_acceleration_mean_x_time" 0.280198851190476
"WALKING_DOWNSTAIRS" 16 "body_acceleration_mean_x_time" 0.295586802191489
"WALKING_DOWNSTAIRS" 17 "body_acceleration_mean_x_time" 0.29391828326087
"WALKING_DOWNSTAIRS" 18 "body_acceleration_mean_x_time" NA
"WALKING_DOWNSTAIRS" 19 "body_acceleration_mean_x_time" 0.262688053871795
"WALKING_DOWNSTAIRS" 20 "body_acceleration_mean_x_time" NA
"WALKING_DOWNSTAIRS" 21 "body_acceleration_mean_x_time" 0.3014610196
"WALKING_DOWNSTAIRS" 22 "body_acceleration_mean_x_time" 0.284458963861111
"WALKING_DOWNSTAIRS" 23 "body_acceleration_mean_x_time" 0.289897411148148
"WALKING_DOWNSTAIRS" 24 "body_acceleration_mean_x_time" NA
"WALKING_DOWNSTAIRS" 25 "body_acceleration_mean_x_time" 0.291329666206897
"WALKING_DOWNSTAIRS" 26 "body_acceleration_mean_x_time" 0.2792845828
"WALKING_DOWNSTAIRS" 27 "body_acceleration_mean_x_time" 0.2975441875
"WALKING_DOWNSTAIRS" 28 "body_acceleration_mean_x_time" 0.293642076521739
"WALKING_DOWNSTAIRS" 29 "body_acceleration_mean_x_time" 0.293140441083333
"WALKING_DOWNSTAIRS" 30 "body_acceleration_mean_x_time" 0.283190646967742
"SITTING" 1 "body_acceleration_mean_x_time" 0.261237565425532
"SITTING" 2 "body_acceleration_mean_x_time" NA
"SITTING" 3 "body_acceleration_mean_x_time" 0.257197599134615
"SITTING" 4 "body_acceleration_mean_x_time" NA
"SITTING" 5 "body_acceleration_mean_x_time" 0.273694139545455
"SITTING" 6 "body_acceleration_mean_x_time" 0.276778487454545
"SITTING" 7 "body_acceleration_mean_x_time" 0.284674637291667
"SITTING" 8 "body_acceleration_mean_x_time" 0.267491472934783
"SITTING" 9 "body_acceleration_mean_x_time" NA
"SITTING" 10 "body_acceleration_mean_x_time" NA
"SITTING" 11 "body_acceleration_mean_x_time" 0.276590197358491
"SITTING" 12 "body_acceleration_mean_x_time" NA
"SITTING" 13 "body_acceleration_mean_x_time" NA
"SITTING" 14 "body_acceleration_mean_x_time" 0.279990577037037
"SITTING" 15 "body_acceleration_mean_x_time" 0.27290337979661
"SITTING" 16 "body_acceleration_mean_x_time" 0.280768574492754
"SITTING" 17 "body_acceleration_mean_x_time" 0.2773570196875
"SITTING" 18 "body_acceleration_mean_x_time" NA
"SITTING" 19 "body_acceleration_mean_x_time" 0.273830316164384
"SITTING" 20 "body_acceleration_mean_x_time" NA
"SITTING" 21 "body_acceleration_mean_x_time" 0.277539616823529
"SITTING" 22 "body_acceleration_mean_x_time" 0.273583822709677
"SITTING" 23 "body_acceleration_mean_x_time" 0.273351251617647
"SITTING" 24 "body_acceleration_mean_x_time" NA
"SITTING" 25 "body_acceleration_mean_x_time" 0.278541482461538
"SITTING" 26 "body_acceleration_mean_x_time" 0.258243530166667
"SITTING" 27 "body_acceleration_mean_x_time" 0.273941302571429
"SITTING" 28 "body_acceleration_mean_x_time" 0.276977629444444
"SITTING" 29 "body_acceleration_mean_x_time" 0.2771799775
"SITTING" 30 "body_acceleration_mean_x_time" 0.268336081379032
"STANDING" 1 "body_acceleration_mean_x_time" 0.278917629056604
"STANDING" 2 "body_acceleration_mean_x_time" NA
"STANDING" 3 "body_acceleration_mean_x_time" 0.280046513278689
"STANDING" 4 "body_acceleration_mean_x_time" NA
"STANDING" 5 "body_acceleration_mean_x_time" 0.282544390892857
"STANDING" 6 "body_acceleration_mean_x_time" 0.280346248596491
"STANDING" 7 "body_acceleration_mean_x_time" 0.282723539433962
"STANDING" 8 "body_acceleration_mean_x_time" 0.279620986111111
"STANDING" 9 "body_acceleration_mean_x_time" NA
"STANDING" 10 "body_acceleration_mean_x_time" NA
"STANDING" 11 "body_acceleration_mean_x_time" 0.277715562765957
"STANDING" 12 "body_acceleration_mean_x_time" NA
"STANDING" 13 "body_acceleration_mean_x_time" NA
